cycle,rank,fish_id,position_x,position_y,weight
-1,0,0,20.106872,27.168265,2500.000000
-1,0,1,18.418947,26.163860,2500.000000
-1,0,2,22.490575,16.716609,2500.000000
-1,0,3,23.873302,29.950653,2500.000000
-1,1,4,25.633171,18.530096,2500.000000
-1,1,5,21.176855,26.342081,2500.000000
-1,1,6,18.417922,16.885038,2500.000000
-1,1,7,24.982868,18.414495,2500.000000
-1,2,8,23.445485,17.144582,2500.000000
-1,2,9,22.550875,25.184860,2500.000000
-1,2,10,20.942502,16.354402,2500.000000
-1,2,11,24.732145,15.790501,2500.000000
-1,3,12,28.785920,23.293772,2500.000000
-1,3,13,24.080807,16.713673,2500.000000
-1,3,14,24.477229,16.809178,2500.000000
-1,3,15,15.708271,19.149948,2500.000000
0,0,0,19.403108,28.269819,2499.997213
0,0,1,20.886924,28.749863,2500.121702
0,0,2,21.802483,17.621437,2499.226023
0,0,3,23.187824,30.000000,2499.879622
0,1,4,19.296569,17.973669,2500.796905
0,1,5,20.478527,27.395725,2498.860374
0,1,6,20.155858,19.461897,2501.000000
0,1,7,24.405221,22.666135,2500.561413
0,2,8,22.769869,18.097421,2498.453865
0,2,9,21.859768,26.224335,2499.424994
0,2,10,20.217267,17.331011,2498.745488
0,2,11,24.084152,16.703125,2499.922834
0,3,12,28.181437,24.277808,2499.242237
0,3,13,24.472129,18.062704,2500.257749
0,3,14,18.613728,20.428752,2500.127409
0,3,15,14.948880,20.116404,2499.609005
1,0,0,15.688593,18.929434,2500.881944
1,0,1,24.602549,23.684399,2500.421030
1,0,2,21.056087,13.983051,2498.904381
1,0,3,23.891727,24.518373,2500.184537
1,1,4,15.649564,9.317915,2501.380115
1,1,5,20.801594,22.183924,2499.860374
1,1,6,19.412433,15.908729,2500.653345
1,1,7,23.704254,19.117956,2499.735486
1,2,8,22.040876,14.504905,2497.552315
1,2,9,21.113191,22.717946,2498.682946
1,2,10,19.435861,13.789812,2498.322557
1,2,11,18.970347,9.054700,2500.162014
1,3,12,27.545235,20.740078,2498.496109
1,3,13,23.772782,14.486630,2500.013885
1,3,14,17.860364,16.829916,2499.168187
1,3,15,14.195940,16.548741,2498.860920
2,0,0,16.808892,14.419160,2500.591673
2,0,1,25.880470,19.239796,2500.356279
2,0,2,22.246303,9.418146,2498.427260
2,0,3,25.148304,20.058373,2499.901316
2,1,4,19.315639,0.074543,2502.380115
2,1,5,21.995244,17.707728,2499.122327
2,1,6,20.594605,11.369906,2499.911738
2,1,7,24.933866,14.611028,2499.531133
2,2,8,23.234919,9.913560,2497.087965
2,2,9,22.305763,18.249643,2497.924857
2,2,10,20.618969,9.216800,2497.099479
2,2,11,19.930118,0.159014,2501.095121
2,3,12,28.887652,16.246991,2498.120097
2,3,13,24.988059,9.906440,2499.604258
2,3,14,19.025571,12.318013,2497.794502
2,3,15,15.346505,11.957800,2498.340508
3,0,0,15.259842,13.374261,2499.226162
3,0,1,24.483283,18.190062,2499.903502
3,0,2,20.800807,8.282721,2498.298300
3,0,3,23.740366,19.059778,2498.691615
3,1,4,17.852691,-1.124920,2498.133826
3,1,5,20.537588,16.635799,2497.446794
3,1,6,13.400106,10.050540,2500.534510
3,1,7,23.512183,13.559340,2497.519285
3,2,8,21.793695,8.820434,2494.170981
3,2,9,19.583154,20.265586,2498.467186
3,2,10,19.125457,8.095368,2494.992963
3,2,11,18.472441,-1.116767,2499.625278
3,3,12,28.588859,11.314162,2499.120097
3,3,13,23.576709,8.820162,2498.569821
3,3,14,17.566429,11.231299,2497.730494
3,3,15,13.791670,10.859655,2496.370134
4,0,0,16.915699,11.996581,2498.961128
4,0,1,26.316157,16.897946,2499.454887
4,0,2,22.550530,6.808858,2497.613127
4,0,3,25.548745,17.752418,2498.206367
4,1,4,19.577679,-2.569095,2496.157638
4,1,5,22.267949,15.323571,2496.493809
4,1,6,15.102578,8.652633,2500.393844
4,1,7,25.296579,12.189488,2497.253171
4,2,8,25.715600,5.797879,2495.170981
4,2,9,18.664110,19.241266,2498.564898
4,2,10,20.863571,6.617089,2494.497413
4,2,11,20.200983,-2.700818,2498.491538
4,3,12,30.000000,9.917596,2498.448305
4,3,13,25.350899,7.420133,2498.152123
4,3,14,19.280855,9.833039,2497.331125
4,3,15,15.620329,14.784817,2496.373913
5,0,0,13.110618,11.529136,2498.640061
5,0,1,17.801770,22.546844,2499.705807
5,0,2,18.843737,6.296412,2497.175922
5,0,3,21.880488,17.272588,2497.830908
5,1,4,15.870768,-3.212702,2495.693256
5,1,5,18.545585,14.856044,2496.035996
5,1,6,11.419413,8.163746,2499.062831
5,1,7,21.621334,11.711861,2496.475512
5,2,8,20.176353,3.283098,2495.351554
5,2,9,9.396542,17.133800,2499.564898
5,2,10,17.178716,6.057111,2493.932260
5,2,11,16.442204,-3.397715,2497.766780
5,3,12,26.332283,6.550462,2498.478910
5,3,13,21.675023,6.915234,2497.992950
5,3,14,20.706739,8.091802,2497.521649
5,3,15,11.935507,14.306333,2494.802306
6,0,0,12.766370,11.748313,2498.350983
6,0,1,17.507960,23.002396,2499.048446
6,0,2,18.554136,6.461991,2495.892375
6,0,3,26.696890,14.661997,2498.644169
6,1,4,15.568264,-3.107845,2493.534911
