WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME
1,1,0.030504
1,2,0.041274
1,4,0.078525
1,8,0.152702
1,16,0.300901
1,32,0.593673
1,64,1.180668
2,1,0.051275
2,2,0.057556
2,4,0.074539
2,8,0.113943
2,16,0.189430
2,32,0.341849
2,64,0.642977
4,1,0.116688
4,2,0.123966
4,4,0.130158
4,8,0.147400
4,16,0.188338
4,32,0.262362
4,64,0.412192
8,1,0.184558
8,2,0.182606
8,4,0.199884
8,8,0.204160
8,16,0.228317
8,32,0.264433
8,64,0.332899
16,1,0.307503
16,2,0.307081
16,4,0.306764
16,8,0.317106
16,16,0.474559
16,32,0.345656
16,64,0.376704
32,1,0.290875
32,2,0.286494
32,4,0.286326
32,8,0.287198
32,16,0.290761
32,32,0.308550
32,64,0.327575
64,1,0.400024
64,2,0.398554
64,4,0.414115
64,8,0.424139
64,16,0.423616
64,32,0.429110
64,64,0.440514
