WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME
1,1,0.028554
1,2,0.045793
1,4,0.105420
1,8,0.261640
1,16,0.727947
1,32,2.302776
1,64,7.907514
2,1,0.083900
2,2,0.090043
2,4,0.122684
2,8,0.210672
2,16,0.474109
2,32,1.274184
2,64,4.148842
4,1,0.154577
4,2,0.155674
4,4,0.166424
4,8,0.223346
4,16,0.352601
4,32,0.784523
4,64,2.257188
8,1,0.230284
8,2,0.221354
8,4,0.229379
8,8,0.239771
8,16,0.317722
8,32,0.554517
8,64,1.331287
16,1,0.299628
16,2,0.302813
16,4,0.304642
16,8,0.313569
16,16,0.336088
16,32,0.484305
16,64,0.918830
32,1,0.440131
32,2,0.437066
32,4,0.438705
32,8,0.451898
32,16,0.486193
32,32,0.522974
32,64,0.816493
64,1,0.713187
64,2,0.699313
64,4,0.708083
64,8,0.714985
64,16,0.726330
64,32,0.765504
64,64,0.847898
