WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME
1,1,0.033580
1,2,0.046566
1,4,0.105139
1,8,0.277598
1,16,0.693363
1,32,2.186324
1,64,7.846495
2,1,0.061603
2,2,0.061553
2,4,0.093218
2,8,0.176432
2,16,0.430647
2,32,1.239053
2,64,4.091450
4,1,0.098806
4,2,0.100358
4,4,0.106792
4,8,0.157371
4,16,0.307453
4,32,0.714303
4,64,2.136582
8,1,0.164681
8,2,0.171618
8,4,0.173110
8,8,0.184821
8,16,0.273185
8,32,0.527483
8,64,1.313665
16,1,0.218526
16,2,0.225340
16,4,0.227437
16,8,0.246054
16,16,0.265721
16,32,0.422394
16,64,0.880114
32,1,0.338762
32,2,0.347948
32,4,0.352355
32,8,0.361502
32,16,0.389265
32,32,0.425098
32,64,0.764750
64,1,0.619885
64,2,0.598608
64,4,0.600578
64,8,0.605017
64,16,0.619828
64,32,0.660314
64,64,0.758391
