WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME
1,1,0.054789
1,2,0.043727
1,4,0.099821
1,8,0.253010
1,16,0.716537
1,32,2.269795
1,64,7.859544
2,1,0.037156
2,2,0.038974
2,4,0.072136
2,8,0.156700
2,16,0.400136
2,32,1.202623
2,64,4.044998
4,1,0.064680
4,2,0.065824
4,4,0.071306
4,8,0.124737
4,16,0.268876
4,32,0.771570
4,64,2.201491
8,1,0.186729
8,2,0.186078
8,4,0.188660
8,8,0.205628
8,16,0.304913
8,32,0.592980
8,64,1.513787
16,1,0.264485
16,2,0.262922
16,4,0.269100
16,8,0.277460
16,16,0.301624
16,32,0.504639
16,64,1.102340
32,1,0.730253
32,2,0.661377
32,4,0.625668
32,8,0.602184
32,16,0.582256
32,32,0.609185
32,64,1.159374
